,distance,width,movement_time
4918,75,10,576
3116,120,14,759
4317,60,14,741
3496,60,8,584
6094,60,14,600
3152,40,18,335
5372,75,18,416
1920,210,20,1187
3524,210,20,840
5445,160,18,553
2254,75,18,400
3660,210,6,1648
2113,210,10,1086
6080,60,10,489
2240,40,10,429
1,210,8,1159
3657,40,18,602
2586,40,6,557
3647,75,8,969
1926,210,20,735
4014,75,14,518
3161,40,18,362
2895,60,20,547
521,210,20,863
2930,40,18,484
5783,60,8,466
385,40,8,472
3069,210,20,816
4299,60,18,535
5842,40,6,560
6162,160,10,1096
2855,160,10,2310
5267,60,20,335
4984,160,10,846
762,40,8,718
2201,60,10,402
2178,40,18,490
4730,120,10,774
626,60,6,1142
1366,210,6,793
2407,160,10,808
2552,120,14,735
3034,40,20,450
292,60,10,583
2195,160,6,847
4085,75,8,784
582,75,6,928
1022,160,6,928
5548,120,8,751
1968,75,14,553
1187,60,20,512
2367,210,14,958
